day_type,departure_time,direction
weekday,05:43,n_to_d
weekday,06:05,n_to_d
weekday,06:23,n_to_d
weekday,06:43,n_to_d
weekday,06:59,n_to_d
weekday,07:08,n_to_d
weekday,07:20,n_to_d
weekday,07:30,n_to_d
weekday,07:42,n_to_d
weekday,07:53,n_to_d
weekday,08:08,n_to_d
weekday,08:20,n_to_d
weekday,08:33,n_to_d
weekday,08:43,n_to_d
weekday,08:55,n_to_d
weekday,09:04,n_to_d
weekday,09:16,n_to_d
weekday,09:31,n_to_d
weekday,09:46,n_to_d
weekday,10:01,n_to_d
weekday,10:16,n_to_d
weekday,10:31,n_to_d
weekday,10:46,n_to_d
weekday,11:01,n_to_d
weekday,11:16,n_to_d
weekday,11:31,n_to_d
weekday,11:46,n_to_d
weekday,12:01,n_to_d
weekday,12:16,n_to_d
weekday,12:31,n_to_d
weekday,12:46,n_to_d
weekday,13:01,n_to_d
weekday,13:16,n_to_d
weekday,13:31,n_to_d
weekday,13:46,n_to_d
weekday,14:01,n_to_d
weekday,14:16,n_to_d
weekday,14:31,n_to_d
weekday,14:46,n_to_d
weekday,15:01,n_to_d
weekday,15:16,n_to_d
weekday,15:31,n_to_d
weekday,15:46,n_to_d
weekday,16:01,n_to_d
weekday,16:16,n_to_d
weekday,16:31,n_to_d
weekday,16:46,n_to_d
weekday,17:01,n_to_d
weekday,17:16,n_to_d
weekday,17:32,n_to_d
weekday,17:44,n_to_d
weekday,17:56,n_to_d
weekday,18:08,n_to_d
weekday,18:20,n_to_d
weekday,18:32,n_to_d
weekday,18:44,n_to_d
weekday,18:55,n_to_d
weekday,19:08,n_to_d
weekday,19:20,n_to_d
weekday,19:32,n_to_d
weekday,19:47,n_to_d
weekday,20:02,n_to_d
weekday,20:17,n_to_d
weekday,20:33,n_to_d
weekday,20:57,n_to_d
weekday,21:14,n_to_d
weekday,21:37,n_to_d
weekday,21:59,n_to_d
weekday,22:05,n_to_d
weekday,22:33,n_to_d
weekday,22:45,n_to_d
weekday,23:15,n_to_d
weekend,05:43,n_to_d
weekend,06:05,n_to_d
weekend,06:23,n_to_d
weekend,06:43,n_to_d
weekend,07:03,n_to_d
weekend,07:18,n_to_d
weekend,07:31,n_to_d
weekend,07:46,n_to_d
weekend,08:01,n_to_d
weekend,08:16,n_to_d
weekend,08:31,n_to_d
weekend,08:46,n_to_d
weekend,09:01,n_to_d
weekend,09:16,n_to_d
weekend,09:31,n_to_d
weekend,09:46,n_to_d
weekend,10:01,n_to_d
weekend,10:16,n_to_d
weekend,10:31,n_to_d
weekend,10:46,n_to_d
weekend,11:01,n_to_d
weekend,11:16,n_to_d
weekend,11:31,n_to_d
weekend,11:46,n_to_d
weekend,12:01,n_to_d
weekend,12:16,n_to_d
weekend,12:31,n_to_d
weekend,12:46,n_to_d
weekend,13:01,n_to_d
weekend,13:16,n_to_d
weekend,13:31,n_to_d
weekend,13:46,n_to_d
weekend,14:01,n_to_d
weekend,14:16,n_to_d
weekend,14:31,n_to_d
weekend,14:46,n_to_d
weekend,15:01,n_to_d
weekend,15:16,n_to_d
weekend,15:31,n_to_d
weekend,15:46,n_to_d
weekend,16:01,n_to_d
weekend,16:16,n_to_d
weekend,16:31,n_to_d
weekend,16:46,n_to_d
weekend,17:01,n_to_d
weekend,17:16,n_to_d
weekend,17:31,n_to_d
weekend,17:46,n_to_d
weekend,18:01,n_to_d
weekend,18:16,n_to_d
weekend,18:33,n_to_d
weekend,18:57,n_to_d
weekend,19:15,n_to_d
weekend,19:33,n_to_d
weekend,19:57,n_to_d
weekend,20:15,n_to_d
weekend,20:33,n_to_d
weekend,20:57,n_to_d
weekend,21:15,n_to_d
weekend,21:33,n_to_d
weekend,21:59,n_to_d
weekend,22:05,n_to_d
weekend,22:33,n_to_d
weekend,22:45,n_to_d
weekend,23:15,n_to_d